region_id,n,soc_med,lat,lon,continent
region_00,376,301.29999999999995,8.885432334499999,-83.57659394,N.America
region_01,277,325.5,10.4833,105.11574,Asia
region_02,277,348.9,-3.83384202606976,133.689555800649,Oceania
region_03,258,193.85,20.48278,86.69051,Asia
region_04,173,327.7,13.249280282257898,-88.56947923249115,N.America
region_05,125,246.3,8.04104634351756,99.5854,Asia
region_06,100,279.45000000000005,-6.90485278,110.50518611,Oceania
region_07,96,157.9,-7.81,39.3,Africa
region_08,69,141.2,-0.851050019264221,-47.3506660461426,S.America
region_09,65,168.9,-13.5702,48.4478,Africa
region_10,58,67.30000000000001,25.007509,55.47844,Africa
region_11,54,290.45000000000005,-2.8,111.7,Oceania
region_12,46,488.29999999999995,1.694528,124.803806,Oceania
region_13,43,455.1,-0.668139,109.443694,other
region_14,41,457.8,-4.608724,39.244164,Africa
region_15,37,518.6,-2.002917,104.567778,other
region_16,36,252.35,14.0169,-16.5746666666667,Africa
region_17,33,468.5,9.6,138.1,Asia
region_18,32,408.35,16.5753065,-87.59544199999999,N.America
region_19,30,534.75,5.099167,-1.32172,Africa
region_20,24,152.3,-2.8468020000000003,-40.082583,S.America
region_21,21,106.6,-6.1847,106.1939,other
region_22,21,180.7,-33.98453,151.141827,Oceania
region_23,19,490.8,5.3,162.9,Asia
region_24,18,221.85000000000002,26.475,-81.974499,N.America
region_25,18,144.55,11.069704999999999,122.684485,Asia
region_26,17,73.7,24.840668,-110.566783,N.America
region_27,13,81.0,-4.448883333,-37.78628333,S.America
region_28,13,69.2,-18.798088,36.214,Africa
